Código Olla Común;Nombre de las Ollas Comunes;Departamento;Provincia;Distrito;Referencia;Centro Poblado;Cocina;N° Beneficiarios;Estado
X1501010001;Tarata;LIMA;LIMA;LIMA;;;Con balón de Gas;0;Cancelado
X1501010002;Raymondi;LIMA;LIMA;LIMA;;;Ninguna;0;Cancelado
X1501010003;Santa Rosa;LIMA;LIMA;LIMA;;;Ninguna;0;Cancelado
X1501010004;Olla de migrantes;LIMA;LIMA;LIMA;;;Ninguna;0;Cancelado
X1501010006;MIKHUYKUNA;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;33;Activo
X1501010007;Villa Maria del Perpetuo Socorro;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;19;Cancelado
X1501010008;Señor de Muruhuay;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;23;Cancelado
X1501010010;Asociación de propietarios Quinta Pinasco;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;15;Inactivo
X1501010012;SANTA ROSA DE LIMA;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;17;Activo
X1501010015;OLLA COMÚN EL JAIME;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;27;Cancelado
X1501010016;Jr. Huánuco 585;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;16;Cancelado
X1501010021;Señor de los Milagros;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;30;Cancelado
X1501010024;Bendiciones en Cristo;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;25;Activo
X1501010025;Virgen de Lourdes;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;33;Activo
X1501010026;BENDICIONES EN CRISTO;LIMA;LIMA;LIMA;;LIMA;Con balón de Gas;0;Inactivo
X1501020001;Dios Provee;LIMA;LIMA;ANCON;;;Con balón de Gas;71;Transitado
X1501020002;Esperanza para Todos;LIMA;LIMA;ANCON;;;Con balón de Gas;80;Transitado
X1501020003;Villas del Sol;LIMA;LIMA;ANCON;;;Con balón de Gas;59;Cancelado
X1501020004;Divina Misericordia de los Niños;LIMA;LIMA;ANCON;;ANCON;Ninguna;0;Cancelado
X1501020005;Nueva Jerusalén;LIMA;LIMA;ANCON;;ANCON;Ninguna;0;Cancelado
X1501020006;El Mirador;LIMA;LIMA;ANCON;;ANCON;Con balón de Gas;70;Transitado
X1501020007;Nutriendo Corazones;LIMA;LIMA;ANCON;;ANCON;Con balón de Gas;60;Transitado
X1501020008;San Valentin;LIMA;LIMA;ANCON;;ANCON;Ninguna;0;Cancelado
